ID,AGE,USE,AD,ED,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,BICYCLES,MOTOR,WB,GENDER,UNO,SERO,DM1,DM2,DM3,DM4,DM5,EDM1,EDM2,EDM3,EDM4,EDM5
515,22.0,4,0.75,0.3,10,3,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
516,22.0,4,0.3,0.3,2,5,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
517,22.0,2,0.3,1.25,7,15,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
518,30.0,4,0.3,0.75,5,10,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
519,40.0,4,0.3,0.3,5,6,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
520,22.0,4,0.3,0.3,2,5,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
521,30.0,2,0.3,1.25,5,15,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
522,30.0,2,1.75,1.25,5,15,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
523,30.0,4,3.75,5.0,15,60,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
524,22.0,2,0.3,0.3,7,7,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
525,22.0,1,3.25,0.75,10,9,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
526,22.0,4,0.75,5.0,10,25,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
527,22.0,4,0.75,0.3,12,5,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
528,22.0,4,3.75,0.3,15,2,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
529,22.0,4,3.75,0.3,15,5,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
530,22.0,4,2.25,1.75,15,15,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
531,54.0,4,0.75,0.75,5,10,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
532,22.0,1,3.25,2.25,15,10,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
533,22.0,4,0.3,0.3,2,2,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
534,22.0,4,0.75,0.3,15,5,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
535,22.0,4,0.3,0.3,6,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
536,22.0,4,3.75,0.3,30,5,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
537,22.0,1,0.3,1.25,5,15,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
538,22.0,2,0.75,0.75,15,10,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
539,54.0,4,0.75,0.75,7,10,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
540,54.0,4,1.25,0.3,15,7,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
541,54.0,4,0.3,0.75,5,5,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
542,30.0,4,0.3,5.0,5,30,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
543,22.0,2,0.75,0.3,10,5,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
544,40.0,4,0.75,0.3,5,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
545,65.0,4,0.3,0.3,5,2,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
546,40.0,1,0.3,1.75,5,5,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0
547,40.0,2,1.75,0.3,5,10,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
548,54.0,4,1.75,1.75,20,10,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
549,40.0,4,1.75,0.75,10,10,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
550,22.0,4,0.3,5.0,2,20,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
551,30.0,4,0.3,0.3,5,5,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
552,22.0,1,0.3,0.75,10,15,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
553,30.0,1,1.25,0.75,15,8,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0
554,54.0,4,2.25,0.3,7,5,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
555,54.0,4,0.75,0.75,5,8,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
556,40.0,4,0.3,5.0,6,25,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
557,30.0,4,0.75,0.75,8,8,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
558,30.0,2,0.3,2.75,3,10,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
