ID,AGE,USE,ACCESS_DISTANCE,EGRESS_DISTANCE,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,ALT4,WB,GENDER,UNO,SERO,VEHICLE,DM1,DM2,DM3,DM4,DM5,DM6,DE1,DE2,DE3,DE4,DE5,DE6
2171,22.0,4,1.25,1.25,15,10,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2172,30.0,4,0.3,0.3,7,8,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2173,22.0,4,0.3,5.0,5,15,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2174,22.0,4,4.75,0.3,25,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2175,30.0,3,0.3,3.75,5,15,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2176,40.0,4,0.3,0.75,7,8,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2177,22.0,4,0.3,0.3,5,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2178,30.0,2,0.3,0.75,5,10,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2179,30.0,4,0.3,0.3,5,2,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2180,30.0,1,1.25,0.3,10,5,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2181,22.0,4,0.75,0.3,10,5,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2182,30.0,2,0.3,0.75,5,15,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2183,22.0,4,0.3,0.3,5,10,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2184,40.0,4,0.3,5.0,5,30,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2185,22.0,4,0.3,0.3,10,2,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2186,30.0,1,1.25,0.3,5,5,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2187,54.0,4,0.75,0.3,10,5,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2188,30.0,1,0.75,0.3,10,4,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
